Año,Trimestre,Provincia,Accesos,Velocidad
2021,2,CATAMARCA,55744,41.073186244259475
2021,2,CHACO,140729,36.04753072216813
2021,2,CHUBUT,139237,7.697851145887946
2021,2,CORDOBA,930880,39.72312952689927
2021,2,CORRIENTES,129501,29.80662031953421
2021,2,ENTRE RIOS,257632,26.385783314960875
2021,2,FORMOSA,51551,23.682917809547824
2021,2,JUJUY,111848,25.667736284958156
2021,2,LA PAMPA,97667,12.139270470066654
2021,2,LA RIOJA,81602,38.756313840347055
2021,2,MENDOZA,229671,13.874736483927009
2021,2,MISIONES,156176,27.691757299457024
2021,2,NEUQUEN,138250,35.346193128390595
2021,2,RIO NEGRO,144084,20.8711809222398
2021,2,SALTA,191639,28.68484943043952
2021,2,SAN JUAN,78933,6.943268670898104
2021,2,SAN LUIS,122818,15.473917585370225
2021,2,SANTA CRUZ,48982,7.850966130415254
2021,2,SANTA FE,840600,30.595363901974782
2021,2,SANTIAGO DEL ESTERO,114090,12.815960767814882
2021,2,TIERRA DEL FUEGO,35693,8.70249824895638
2021,2,TUCUMAN,233051,40.26880106929384
2021,3,BUENOS AIRES,4251605,57.28973136074494
2021,3,CABA,1413405,79.37056637057319
2021,3,CATAMARCA,56254,42.24569797703274
2021,3,CHACO,139871,37.667997304659295
2021,3,CHUBUT,156066,7.698161418886881
2021,3,CORDOBA,946788,42.10736432020685
2021,3,CORRIENTES,133819,31.61387723716363
2021,3,ENTRE RIOS,260375,28.662483706192994
2021,3,FORMOSA,52795,26.38508836064021
2021,3,JUJUY,111158,25.83319750265388
2021,3,LA PAMPA,100487,12.83063848059948
2021,3,LA RIOJA,82160,39.11070664556962
2021,3,MENDOZA,255939,13.778108467251963
2021,3,MISIONES,158528,29.831683286233343
2021,3,NEUQUEN,139809,37.56302458353897
2021,3,RIO NEGRO,144585,22.331298073797424
2021,3,SALTA,195833,30.62671564036705
2021,3,SAN JUAN,79483,6.990649899978613
2021,3,SAN LUIS,117864,16.6094160218557
2021,3,SANTA CRUZ,48976,7.915581570565174
2021,3,SANTA FE,841584,32.96861890435179
2021,3,SANTIAGO DEL ESTERO,115458,13.528229797848567
2021,3,TIERRA DEL FUEGO,50223,9.769590466519324
2021,3,TUCUMAN,232472,42.511492403386214
2021,4,BUENOS AIRES,4509157,61.07794501677363
2021,4,CABA,1412119,84.79360045222818
2021,4,CATAMARCA,59090,45.18177705195465
2021,4,CHACO,143745,40.795798066019685
2021,4,CHUBUT,160308,8.594230855602964
2021,4,CORDOBA,986770,46.42140432724951
2021,4,CORRIENTES,135912,34.587705000294314
2021,4,ENTRE RIOS,265046,31.781970159896776
2021,4,FORMOSA,53663,28.264826603059834
2021,4,JUJUY,113915,26.95370017995874
2021,4,LA PAMPA,107007,13.878234180941435
2021,4,LA RIOJA,83128,39.96370125589453
2021,4,MENDOZA,267587,22.832670641697838
2021,4,MISIONES,171132,37.660752074422085
2021,4,NEUQUEN,147466,38.82467191081334
2021,4,RIO NEGRO,153753,23.733098020851628
2021,4,SALTA,199405,33.318514290012786
2021,4,SAN JUAN,79958,11.040073563620902
2021,4,SAN LUIS,118849,15.987128120556338
2021,4,SANTA CRUZ,48486,9.307552345006807
2021,4,SANTA FE,866441,35.758111206648806
2021,4,SANTIAGO DEL ESTERO,115861,14.003764217467483
2021,4,TIERRA DEL FUEGO,52357,10.70198464388716
2021,4,TUCUMAN,238639,45.60798305390149
2022,1,BUENOS AIRES,4555424,63.42338857261147
2022,1,CABA,1417541,90.14818079970878
2022,1,CATAMARCA,62378,50.06095819038764
2022,1,CHACO,144119,44.2018103997391
2022,1,CHUBUT,171628,12.644274057846038
2022,1,CORDOBA,1003803,49.967936617045375
2022,1,CORRIENTES,142578,36.96054113537853
2022,1,ENTRE RIOS,267926,33.978089155214505
2022,1,FORMOSA,54548,30.577653002859865
2022,1,JUJUY,116509,27.48067672025337
2022,1,LA PAMPA,109732,14.866164300295264
2022,1,LA RIOJA,84303,41.65893690615992
2022,1,MENDOZA,275185,26.52657925032251
2022,1,MISIONES,171508,40.55421092893626
2022,1,NEUQUEN,149679,41.749676574536174
2022,1,RIO NEGRO,157374,27.29165207721733
2022,1,SALTA,197515,36.05318900336683
2022,1,SAN JUAN,88178,12.230277007870443
2022,1,SAN LUIS,119844,16.162768715997466
2022,1,SANTA CRUZ,49102,11.190027595617286
2022,1,SANTA FE,870479,38.666269644643926
2022,1,SANTIAGO DEL ESTERO,116461,14.662649899966514
2022,1,TIERRA DEL FUEGO,52611,10.77005534964171
2022,1,TUCUMAN,245584,47.71736438855952
2022,2,BUENOS AIRES,4667183,65.95872261811888
2022,2,CABA,1536771,89.66179793801419
2022,2,CATAMARCA,67008,55.426716959169056
2022,2,CHACO,143564,50.149437749017856
2022,2,CHUBUT,162805,13.55300269647738
2022,2,CORDOBA,1026435,53.63945861160229
2022,2,CORRIENTES,144997,42.02288710800913
2022,2,ENTRE RIOS,269352,38.21819930425614
2022,2,FORMOSA,67881,28.796407359938716
2022,2,JUJUY,115314,29.16824912846662
2022,2,LA PAMPA,111527,16.045290100155118
2022,2,LA RIOJA,86030,43.59404926188539
2022,2,MENDOZA,279562,29.94285327405012
2022,2,MISIONES,178813,44.86636801574829
2022,2,NEUQUEN,161968,42.150028993381405
2022,2,RIO NEGRO,159764,28.924750269146994
2022,2,SALTA,203177,38.172841935849036
2022,2,SAN JUAN,100407,13.313975659067596
2022,2,SAN LUIS,121741,17.157088392571115
2022,2,SANTA CRUZ,49185,12.045549476466404
2022,2,SANTA FE,878859,41.84195766783978
2022,2,SANTIAGO DEL ESTERO,118044,16.514983989021044
2022,2,TIERRA DEL FUEGO,53770,10.819005728101173
2022,2,TUCUMAN,254527,50.65123017990233
2022,3,BUENOS AIRES,5044432,161.36648985693532
2022,3,CABA,1504686,239.7062614638536
2022,3,CATAMARCA,74933,94.18821718068142
2022,3,CHACO,155543,108.38078283175713
2022,3,CHUBUT,170674,18.971820945193762
2022,3,CORDOBA,1082095,117.65581419745956
2022,3,CORRIENTES,157894,102.18089871686068
2022,3,ENTRE RIOS,296552,100.47697204874693
2022,3,FORMOSA,62718,87.30914928728595
2022,3,JUJUY,118051,47.83925533879425
2022,3,LA PAMPA,122195,26.67399845329187
2022,3,LA RIOJA,87782,65.36445920575973
2022,3,MENDOZA,302597,52.242295125199526
2022,3,MISIONES,202556,94.21281433282648
2022,3,NEUQUEN,164246,89.9424958720456
2022,3,RIO NEGRO,170352,70.08275519512539
2022,3,SALTA,202860,84.89380468303264
2022,3,SAN JUAN,106666,24.884354733467084
2022,3,SAN LUIS,156088,176.62109749628414
2022,3,SANTA CRUZ,80208,18.849969828446042
2022,3,SANTA FE,918578,102.2347803648683
2022,3,SANTIAGO DEL ESTERO,124362,46.29630771457519
2022,3,TIERRA DEL FUEGO,61555,19.731671805702216
2022,3,TUCUMAN,264595,106.8468094861959
2022,4,BUENOS AIRES,4794665,112.71892523085553
2022,4,CABA,1551926,177.50081806026833
2022,4,CATAMARCA,70909,83.0786830726706
2022,4,CHACO,143663,104.91628245964515
2022,4,CHUBUT,168759,14.496504980475114
2022,4,CORDOBA,1049660,111.24173347941239
2022,4,CORRIENTES,155453,93.38031982657137
2022,4,ENTRE RIOS,270974,91.08569499287754
2022,4,FORMOSA,61840,74.61756995472187
2022,4,JUJUY,118218,39.75239144631105
2022,4,LA PAMPA,114164,16.831837225395045
2022,4,LA RIOJA,86262,62.740543437434795
2022,4,MENDOZA,292104,36.677620200339604
2022,4,MISIONES,186269,90.31589477583495
2022,4,NEUQUEN,160180,98.14859373205144
2022,4,RIO NEGRO,162092,64.23923972805568
2022,4,SALTA,205860,76.48130075779656
2022,4,SAN JUAN,103826,15.076331959239498
2022,4,SAN LUIS,135220,30.370765611595917
2022,4,SANTA CRUZ,50203,14.447798438340337
2022,4,SANTA FE,887691,92.10222082909482
2022,4,SANTIAGO DEL ESTERO,119494,35.57634025139337
2022,4,TIERRA DEL FUEGO,55260,13.565261780673183
2022,4,TUCUMAN,263422,86.2983700526152
2023,1,BUENOS AIRES,4820928,117.99056594041646
2023,1,CABA,1548729,182.99457496372833
2023,1,CATAMARCA,71492,87.14216659206625
2023,1,CHACO,142442,105.12910721556844
2023,1,CHUBUT,170053,16.584806924899883
2023,1,CORDOBA,1049972,110.27846699150072
2023,1,CORRIENTES,157020,92.84759186090943
2023,1,ENTRE RIOS,274878,90.1860338586573
2023,1,FORMOSA,60985,76.58110436992703
2023,1,JUJUY,117981,42.93249224875192
2023,1,LA PAMPA,116504,17.583921110004805
2023,1,LA RIOJA,86405,64.9682015855564
2023,1,MENDOZA,293019,39.24560428845911
2023,1,MISIONES,190685,89.08382005926003
2023,1,NEUQUEN,160412,96.09832304316384
2023,1,RIO NEGRO,164331,63.55230671023727
2023,1,SALTA,205426,77.35737155958837
2023,1,SAN JUAN,101767,17.17822616368764
2023,1,SAN LUIS,135463,55.52671080664092
2023,1,SANTA CRUZ,50361,15.076283254899625
2023,1,SANTA FE,886274,94.03402269049978
2023,1,SANTIAGO DEL ESTERO,118555,37.49003269368647
2023,1,TIERRA DEL FUEGO,57113,14.056650534904488
2023,1,TUCUMAN,261100,93.5935690693221
2023,2,BUENOS AIRES,5044503,161.3681161775501
2023,2,CABA,1504686,239.7062614638536
2023,2,CATAMARCA,74933,94.18821718068142
2023,2,CHACO,155543,108.38078283175713
2023,2,CHUBUT,170674,18.971820945193762
2023,2,CORDOBA,1082179,117.64893336869409
2023,2,CORRIENTES,157894,102.18089871686068
2023,2,ENTRE RIOS,296552,100.47697204874693
2023,2,FORMOSA,62718,87.30914928728595
2023,2,JUJUY,118053,47.841494345759955
2023,2,LA PAMPA,122195,26.67399845329187
2023,2,LA RIOJA,87782,65.36445920575973
2023,2,MENDOZA,302597,52.242295125199526
2023,2,MISIONES,202556,94.21281433282648
2023,2,NEUQUEN,164246,89.9424958720456
2023,2,RIO NEGRO,171019,70.89175771697882
2023,2,SALTA,202860,84.89380468303264
2023,2,SAN JUAN,106666,24.884354733467084
2023,2,SAN LUIS,156088,176.62109749628414
2023,2,SANTA CRUZ,80208,18.849969828446042
2023,2,SANTA FE,918578,102.2347803648683
2023,2,SANTIAGO DEL ESTERO,124362,46.29630771457519
2023,2,TIERRA DEL FUEGO,61555,19.731671805702216
2023,2,TUCUMAN,264595,106.8468094861959
2023,3,BUENOS AIRES,4968237,149.1857804700138
2023,3,CABA,1467984,227.55164043817916
2023,3,CATAMARCA,74355,90.45253594243832
2023,3,CHACO,142146,108.19659253162241
2023,3,CHUBUT,168068,17.812535973534523
2023,3,CORDOBA,1069334,113.96685489098822
2023,3,CORRIENTES,159829,98.31593093869073
2023,3,ENTRE RIOS,293293,100.23163258243463
2023,3,FORMOSA,61314,83.65854481847539
2023,3,JUJUY,117377,44.77888581238233
2023,3,LA PAMPA,119921,24.347679930954545
2023,3,LA RIOJA,87701,65.62462067707324
2023,3,MENDOZA,298022,47.13954481883887
2023,3,MISIONES,197135,90.55947455297131
2023,3,NEUQUEN,164273,92.67784768647311
